Date,Amount,Category,Notes
2025-07-01,45000,🚗 Transportasi,Gocar Savana - Rumah 
2025-07-01,100000,🎁 Kado & Donasi,Nikahan
2025-07-01,27000,🎲 Lain-lain,Pigeon Rash Baby Cream
2025-07-01,20000,🍔 Makan & Minum,Bakso
2025-07-02,22000,🍔 Makan & Minum,Degan & Batagor
2025-07-02,160000,🎲 Lain-lain,Prenagen x2
2025-07-03,21000,🍔 Makan & Minum,Antar Galon
2025-07-03,25000,🚗 Transportasi,Bus ke Kantor 
2025-07-03,15000,🍔 Makan & Minum,Nasi Bu Kono 
2025-07-03,12000,🍔 Makan & Minum,Circle K
2025-07-04,8000,🎁 Kado & Donasi,Patungan Kue Ultah Teman
2025-07-02,77000,🍔 Makan & Minum,Mie Gacoan
2025-07-03,54000,🚗 Transportasi,PP Kampus-BNI-Naiki-Rumah
2025-07-03,56000,🍔 Makan & Minum,Makan di Naiki Cafe
2025-07-04,7500000,🎲 Lain-lain,Ganti gaji Guru pengganti cuti
2025-07-04,35000,🍔 Makan & Minum,Chatime
2025-07-04,35000,🎁 Kado & Donasi,Kado Teman
2025-07-04,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-04,32800,🍔 Makan & Minum,Naraya x2 & Minyak Goreng 
2025-07-05,25000,🚗 Transportasi,Bus ke Kantor 
2025-07-05,10000,🍔 Makan & Minum,Pentol Kantor
2025-07-04,44000,🚗 Transportasi,PP Rumah-Kampus-11:12
2025-07-04,56000,🍔 Makan & Minum,Makan di 11:12
2025-07-05,12000,🚗 Transportasi,Rumah-handall cafe
2025-07-05,158700,🎁 Kado & Donasi,Traktiran tim borang
2025-07-06,15000,🍔 Makan & Minum,Nasi Bu Kono
2025-07-06,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-07,35000,🎲 Lain-lain,"Imunisasi, Pamol"
2025-07-07,47000,🍔 Makan & Minum,Bakso x3 & Degan
2025-07-09,20000,🛒 Bahan Dapur,Gas LPG Rumah
2025-07-09,8000,🍔 Makan & Minum,Es Gabus x4
2025-07-09,50000,🍔 Makan & Minum,Bakso Tandon
2025-07-10,25000,🚗 Transportasi,Bus ke Kantor
2025-07-10,30000,🍔 Makan & Minum,Nasi Bakar
2025-07-10,35500,🛍️ Belanja,Headset 
2025-07-10,36500,🍔 Makan & Minum,KFC
2025-07-11,5847,🎁 Kado & Donasi,Patungan Kue Ultah Ghaly
2025-07-11,20000,🍔 Makan & Minum,Nasi Bakar
2025-07-11,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-11,41000,🎲 Lain-lain,Popok
2025-07-06,46500,🚗 Transportasi,PP Rumah-Kampus-Hindia Cafe
2025-07-06,65000,🍔 Makan & Minum,Hindia cafe
2025-07-09,65490,🧾 Tagihan & BIaya-biaya,Youtube premium
2025-07-10,9500,🚗 Transportasi,Kampus-rumah
2025-07-11,39000,🚗 Transportasi,Kampus-rumah-RS Kampus
2025-07-12,24500,🚗 Transportasi,Bus ke Kantor 
2025-07-12,15000,🍔 Makan & Minum,Ayam Geprek 
2025-07-13,10000,🍔 Makan & Minum,Pentol Kantor
2025-07-13,21500,🍔 Makan & Minum,Ayam Nelongso
2025-07-14,15000,🚗 Transportasi,Ayam Geprek
2025-07-14,61000,🚗 Transportasi,Transport ke Kota 
2025-07-14,24000,💊 Kesehatan,Test Pack 
2025-07-13,125000,🧾 Tagihan & BIaya-biaya,Kuota Indosat 
2025-07-14,28000,🚗 Transportasi,Bensin
2025-07-16,15000,💊 Kesehatan,Potong Rambut
2025-07-16,91000,🍔 Makan & Minum,Ramen Kedaishi x2
2025-07-16,193000,🎲 Lain-lain,Pampers x2 & Prenagen
2025-07-17,25000,🚗 Transportasi,Bus ke Kantor 
2025-07-17,32500,💊 Kesehatan,"UC1000, Bear Brand, Roti 2"
2025-07-17,35000,🍔 Makan & Minum,"Sop Kambing, Lontong, Jeruk Anget "
2025-07-17,59000,🚗 Transportasi,Gocar Ibu ke Rumah 
2025-07-18,38839,🧾 Tagihan & Biaya-biaya,YouTube Premium 
2025-07-18,15500,🍔 Makan & Minum,Nasi Pecel
2025-07-18,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-18,9900,🛒 Bahan Dapur,Sabun Pel
2025-07-20,25000,🚗 Transportasi,Bus ke Kantor 
2025-07-20,11000,🍔 Makan & Minum,Bubur Ayam
2025-07-20,21000,💊 Kesehatan,Strepcils
2025-07-20,18500,🍔 Makan & Minum,Nasi Kantin 
2025-07-20,66500,💊 Kesehatan,"UC1000, Bear Brand, Air Minum, Tisyu, Listerin"
2025-07-12,35500,🚗 Transportasi,PP Kampus-rumah-Kampus
2025-07-13,24000,🚗 Transportasi,PP Kampus
2025-07-14,24000,🚗 Transportasi,PP rumah-Kampus
2025-07-17,7000,🚗 Transportasi,PP Kampus
2025-07-18,25500,🚗 Transportasi,PP Atria-rumah-Kampus
2025-07-19,50000,🧾 Tagihan & BIaya-biaya,Paket data
2025-07-20,7000,🚗 Transportasi,PP Kampus
2025-07-20,8500,🍔 Makan & Minum,Maksi di Kampus
2025-07-21,44000,🍔 Makan & Minum,Sarapan Richeese
2025-07-21,11600,💊 Kesehatan,Bear Brand 
2025-07-21,24000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-21,24000,💊 Kesehatan,Ronde x2 & Angsle
2025-07-21,21500,🚗 Transportasi,PP Kampus-rumah-Nakoa
2025-07-21,40000,🍔 Makan & Minum,Makan di Nakoa
2025-07-22,124500,🎲 Lain-lain,"Popok, Tisu Kering & Basah "
2025-07-22,60500,🚗 Transportasi,Gocar ke (Pulang)
2025-07-22,45000,🍔 Makan & Minum,Bakso Araya dll
2025-07-22,50000,🎲 Lain-lain,Pijat Bayi
2025-07-23,15000,🍔 Makan & Minum,Kebun Asrikaton
2025-07-23,24000,🍔 Makan & Minum,Jajan di Kebon
2025-07-24,24000,🚗 Transportasi,Bus ke Kantor & Gojek 
2025-07-24,10000,🍔 Makan & Minum,Nasi Bu Kono
2025-07-24,34000,🍔 Makan & Minum,KFC (Only Choice) 
2025-07-25,10000,🍔 Makan & Minum,Pentol
2025-07-25,10000,🍔 Makan & Minum,Nasi Bu Kono 
2025-07-25,44000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-26,25000,🚗 Transportasi,Bus ke Kantor 
2025-07-26,20000,🍔 Makan & Minum,Nasi Bakar 
2025-07-26,33000,🍔 Makan & Minum,KFC Winger
2025-07-27,11000,🍔 Makan & Minum,Bubur Ayam 
2025-07-27,20000,🍔 Makan & Minum,Nasi Bakar
2025-07-27,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-07-28,35000,🚗 Transportasi,Bensin Full Tank 
2025-07-29,30000,🍔 Makan & Minum,Soto Ayam Rumah
2025-07-30,144240,🎲 Lain-lain,Celana Kakak x6
2025-07-30,34000,🍔 Makan & Minum,Wedrink + Parkir 
2025-07-30,32500,🚗 Transportasi,Gojek Ibu ke Rumah 
2025-08-01,21000,🛒 Bahan Dapur,Galon Air
2025-08-01,25000,🚗 Transportasi,Bus ke Kantor 
2025-07-31,10000,🍔 Makan & Minum,Pentol Kantor
